run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-e534e29312b47782,SC-D-05,full,1,preference_change,medium,high,high,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,20,1.0,1.0,2,7311.541,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-1504c7880ab5fe9b,SC-D-05,full,2,preference_change,medium,high,high,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,20,1.0,1.0,2,7359.347,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-2cdd385b99c5ffab,SC-D-06,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,2,7102.249,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-1eb4d3058e8b4165,SC-D-06,full,1,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,2,8982.212,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-44795ad47ee841b5,SC-D-06,full,2,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,2,8614.43,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-658714b50f7dcf72,SC-D-07,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,21,1.0,1.0,2,7077.694,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-fe9d069fc2639eb1,SC-D-07,full,1,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,21,1.0,1.0,2,6959.157,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-b8132731fc0cfffd,SC-D-07,full,2,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,22,1.0,1.0,2,8097.948,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-ca153d14d78024b3,SC-D-08,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,2,8973.466,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-4ed083db5c776e31,SC-D-08,full,1,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,2,8504.942,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
