scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-C-05,full,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10039.212,1.0,1.0,23.0,-1.0
SC-C-05,no_context,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8840.937,1.0,1.0,23.0,-1.0
SC-C-05,no_memory,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8359.196333333333,1.0,1.0,23.0,-1.0
SC-D-01,full,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,6731.954000000001,1.0,1.0,26.0,-2.0
SC-D-01,no_context,preference_change,medium,high,high,0.8304198973631921,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,2.0,2.0,6546.599333333333,0.0,0.75,26.0,-2.0
SC-D-01,no_memory,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,7129.718666666667,1.0,1.0,26.0,-2.0
SC-D-02,full,preference_change,medium,high,medium,0.5531464700081438,0.4000000000000001,0.8000000000000002,0.4000000000000001,0.6,0.20000000000000004,0.0,1.0,1.0,1.0,1.0,2.0,2.0,7853.740000000001,0.0,0.75,31.0,-2.0
SC-D-02,no_context,preference_change,medium,high,medium,0.5531464700081438,0.4000000000000001,0.8000000000000002,0.4000000000000001,0.6,0.20000000000000004,0.0,1.0,1.0,1.0,1.0,2.0,2.0,8045.928333333333,0.0,0.75,28.0,-2.0
SC-D-02,no_memory,preference_change,medium,high,medium,0.3391602052736162,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.8000000000000002,0.20000000000000004,0.0,1.0,1.0,1.0,1.0,2.0,2.0,7395.059333333334,0.0,0.75,29.0,-2.0
SC-D-03,full,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,6593.659,1.0,1.0,26.0,-2.0
SC-D-03,no_context,preference_change,hard,high,high,0.7227265726449517,0.6,1.8,0.6,0.6,0.10000000000000002,0.4000000000000001,1.0,1.0,1.0,1.0,2.0,2.0,6482.534,0.0,0.75,25.0,-2.0
SC-D-03,no_memory,preference_change,hard,high,high,0.9562649741625527,0.9333333333333332,2.8000000000000003,0.9333333333333332,0.06666666666666667,0.03333333333333333,0.0,1.0,1.0,1.0,1.0,2.0,2.0,6515.089,0.6666666666666666,0.9166666666666666,20.666666666666668,-2.0
SC-D-04,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,7336.121666666666,1.0,1.0,28.0,-2.0
SC-D-04,no_context,preference_change,medium,high,medium,0.6608397947263838,0.8000000000000002,2.4,0.8000000000000002,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,1.0,1.0,1.0,2.0,2.0,7312.531,0.0,0.75,28.0,-2.0
