run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,evidence_resolution_rate,abstention_rate,unsupported_delivered_count,semantic_validator_present,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-dcec6376163df8fc,SC-C-03,no_context,0,profile_dialogue_conflict,hard,medium,high,recommendation,True,5,0.2873629111569347,0.2,0.6,0.2,0.8,0.0,0.2,1.0,1.0,26,1.0,0.0,0,True,1.0,1.0,1,19.625,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-bc800b63a2891e00,SC-C-04,no_context,0,profile_dialogue_conflict,medium,medium,high,recommendation,True,5,0.6572885561341879,0.4,1.2,0.4,0.8,0.13333333333333333,0.2,1.0,1.0,25,1.0,0.0,0,True,1.0,1.0,1,22.385,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-ee5ebbe1776e3593,SC-C-05,no_context,0,profile_dialogue_conflict,medium,low,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,28.355,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-3fac34c2107fdb3d,SC-D-01,no_context,0,preference_change,medium,high,high,recommendation,True,5,0.49125969208957576,0.6,1.8,0.6,0.4,0.0,0.2,1.0,1.0,26,1.0,0.0,0,True,1.0,1.0,2,22.449,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-419b34c10574e0d7,SC-D-02,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.5531464700081438,0.4,0.8,0.4,0.6,0.2,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,2,24.511,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-dd7de3867f884932,SC-D-03,no_context,0,preference_change,hard,high,high,recommendation,True,5,0.7227265726449517,0.6,1.8,0.6,0.6,0.1,0.4,1.0,1.0,25,1.0,0.0,0,True,1.0,1.0,2,21.88,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-e3a76e2898f5c2fc,SC-D-04,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.6608397947263838,0.8,2.4,0.8,0.4,0.1,0.2,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,2,24.244,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-dab5d4df9ae936a4,SC-D-05,no_context,0,preference_change,medium,high,high,recommendation,True,5,0.8539316501572934,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,21,1.0,0.0,0,True,1.0,1.0,2,24.019,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-ebc9aaf788547725,SC-D-06,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.6548086577531306,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,2,28.436,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-84afe91bc77f7d66,SC-D-07,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.5087403079104241,0.4,1.2,0.4,0.6,0.0,0.2,1.0,1.0,21,1.0,0.0,0,True,1.0,1.0,2,25.193,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-22bedfbb4ba39ae8,SC-D-08,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.8687949224876581,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,2,21.979,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
