scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-D-02,no_context,preference_change,medium,high,medium,0.5531464700081438,0.4,0.8,0.4,0.6,0.2,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,24.511,0.0,0.75,28.0,-2.0
SC-D-02,no_memory,preference_change,medium,high,medium,0.47036528278595796,0.4,0.8,0.4,0.6,0.13333333333333333,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,16.634,0.0,0.75,26.0,-2.0
SC-D-02,one_shot,preference_change,medium,high,medium,0.47036528278595796,0.4,0.8,0.4,0.6,0.13333333333333333,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,40.85,0.0,0.75,26.0,-2.0
SC-D-02,profile_only,preference_change,medium,high,medium,0.21398626473452756,0.2,0.4,0.2,1.2,0.13333333333333333,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,20.101,0.0,0.75,26.0,-2.0
SC-D-03,full,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,20.621,1.0,1.0,26.0,-2.0
SC-D-03,no_context,preference_change,hard,high,high,0.7227265726449517,0.6,1.8,0.6,0.6,0.1,0.4,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,21.88,0.0,0.75,25.0,-2.0
SC-D-03,no_memory,preference_change,hard,high,high,0.44685352999185624,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,18.094,0.0,0.75,21.0,-2.0
SC-D-03,one_shot,preference_change,hard,high,high,0.44685352999185624,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,17.653,0.0,0.75,21.0,-2.0
SC-D-03,profile_only,preference_change,hard,high,high,0.44685352999185624,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,20.091,0.0,0.75,21.0,-2.0
SC-D-04,full,preference_change,medium,high,medium,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,17.931,1.0,1.0,28.0,-2.0
SC-D-04,no_context,preference_change,medium,high,medium,0.6608397947263838,0.8,2.4,0.8,0.4,0.1,0.2,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,24.244,0.0,0.75,28.0,-2.0
SC-D-04,no_memory,preference_change,medium,high,medium,0.8777221344374128,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,17.493,1.0,1.0,27.0,-2.0
SC-D-04,one_shot,preference_change,medium,high,medium,0.8777221344374128,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,16.384,1.0,1.0,27.0,-2.0
SC-D-04,profile_only,preference_change,medium,high,medium,0.49125969208957576,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,22.041,0.0,0.75,21.0,-2.0
SC-D-05,full,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,41.503,1.0,1.0,20.0,-2.0
SC-D-05,no_context,preference_change,medium,high,high,0.8539316501572934,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,24.019,0.0,0.75,21.0,-2.0
SC-D-05,no_memory,preference_change,medium,high,high,,,,,,,,,,,,1.0,1.0,2.0,2.0,0.963,0.0,0.0,0.0,-1003.0
SC-D-05,one_shot,preference_change,medium,high,high,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.571,0.0,0.0,0.0,-1003.0
SC-D-05,profile_only,preference_change,medium,high,high,0.5531464700081437,0.4,1.2,0.4,0.6,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,91.788,0.0,0.75,14.0,-2.0
SC-D-06,full,preference_change,medium,high,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,20.37,1.0,1.0,28.0,-2.0
SC-D-06,no_context,preference_change,medium,high,medium,0.6548086577531306,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,28.436,0.0,0.75,28.0,-2.0
SC-D-06,no_memory,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.187,0.0,0.0,0.0,-1003.0
SC-D-06,one_shot,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.152,0.0,0.0,0.0,-1003.0
SC-D-06,profile_only,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.013,0.0,0.0,0.0,-1003.0
SC-D-07,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,18.292,1.0,1.0,23.0,-2.0
SC-D-07,no_context,preference_change,medium,high,medium,0.5087403079104241,0.4,1.2,0.4,0.6,0.0,0.2,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,25.193,0.0,0.75,21.0,-2.0
SC-D-07,no_memory,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.571,0.0,0.0,0.0,-1003.0
SC-D-07,one_shot,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.025,0.0,0.0,0.0,-1003.0
SC-D-07,profile_only,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,0.857,0.0,0.0,0.0,-1003.0
SC-D-08,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,17.907,1.0,1.0,28.0,-2.0
SC-D-08,no_context,preference_change,medium,high,medium,0.8687949224876581,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,21.979,0.0,0.75,28.0,-2.0
SC-D-08,no_memory,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.143,0.0,0.0,0.0,-1003.0
SC-D-08,one_shot,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.327,0.0,0.0,0.0,-1003.0
SC-D-08,profile_only,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,0.864,0.0,0.0,0.0,-1003.0
SC-D-09,full,preference_change,hard,high,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,21.811,1.0,1.0,24.0,-2.0
SC-D-09,no_context,preference_change,hard,high,medium,0.5147714448836774,0.6,1.8,0.6,0.4,0.1,0.2,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,27.17,0.0,0.75,23.0,-2.0
SC-D-09,no_memory,preference_change,hard,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.484,0.0,0.0,0.0,-1003.0
SC-D-09,one_shot,preference_change,hard,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.683,0.0,0.0,0.0,-1003.0
SC-D-09,profile_only,preference_change,hard,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,0.889,0.0,0.0,0.0,-1003.0
SC-D-10,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,21.093,1.0,1.0,23.0,-2.0
SC-D-10,no_context,preference_change,medium,high,medium,0.529634717214042,0.6,1.8,0.6,0.6,0.1,0.4,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,25.525,0.0,0.75,23.0,-2.0
