scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-A-04,one_shot,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.976,1.0,1.0,24.0,-1.0
SC-A-04,profile_only,complete,medium,none,medium,0.5531464700081437,0.4,1.2,0.4,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.65,0.0,0.75,14.0,-1.0
SC-A-05,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.315,1.0,1.0,23.0,-1.0
SC-A-05,no_context,complete,easy,none,medium,0.6608397947263838,0.8,2.4,0.8,0.4,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,23.58,0.0,0.75,23.0,-1.0
SC-A-05,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.328,1.0,1.0,23.0,-1.0
SC-A-05,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.602,1.0,1.0,23.0,-1.0
SC-A-05,profile_only,complete,easy,none,medium,0.6608397947263838,0.8,2.4,0.8,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.198,0.0,0.75,19.0,-1.0
SC-A-06,full,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.593,1.0,1.0,27.0,-1.0
SC-A-06,no_context,complete,medium,none,medium,0.49125969208957576,0.6,1.8,0.6,0.4,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,21.927,0.0,0.75,27.0,-1.0
SC-A-06,no_memory,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.243,1.0,1.0,27.0,-1.0
SC-A-06,one_shot,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.995,1.0,1.0,27.0,-1.0
SC-A-06,profile_only,complete,medium,none,medium,0.5147714448836774,0.6,1.8,0.6,0.4,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.111,0.0,0.75,22.0,-1.0
SC-B-01,full,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,19.58,1.0,1.0,31.0,-2.0
SC-B-01,no_context,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,19.07,1.0,1.0,31.0,-2.0
SC-B-01,no_memory,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,18.078,1.0,1.0,23.0,-2.0
SC-B-01,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,1.0,1.077,0.0,0.25,0.0,-1001.0
SC-B-01,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,2.0,2.0,0.685,0.0,0.5,0.0,-1002.0
SC-B-02,full,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,22.248,1.0,1.0,21.0,-2.0
SC-B-02,no_context,clarification,medium,none,low,0.529634717214042,0.6,1.8,0.6,0.4,0.0,0.4,1.0,1.0,1.0,1.0,2.0,2.0,19.059,0.0,0.75,22.0,-2.0
SC-B-02,no_memory,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,14.459,1.0,1.0,16.0,-2.0
SC-B-02,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,1.0,1.227,0.0,0.25,0.0,-1001.0
SC-B-02,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,2.0,2.0,0.641,0.0,0.5,0.0,-1002.0
SC-B-03,full,clarification,hard,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,23.291,1.0,1.0,21.0,-2.0
SC-B-03,no_context,clarification,hard,none,low,0.8539316501572934,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,2.0,2.0,18.071,0.0,0.75,20.0,-2.0
SC-B-03,no_memory,clarification,hard,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,17.441,1.0,1.0,21.0,-2.0
SC-B-03,one_shot,clarification,hard,none,low,,,,,,,,,,1.0,1.0,1.0,1.0,0.884,0.0,0.25,0.0,-1001.0
SC-B-03,profile_only,clarification,hard,none,low,,,,,,,,,,1.0,1.0,2.0,2.0,0.754,0.0,0.5,0.0,-1002.0
SC-B-04,full,clarification,medium,none,low,0.9395225786842207,0.8,1.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,10.81,1.0,1.0,30.0,-2.0
SC-B-04,no_context,clarification,medium,none,low,0.5936849053443323,0.4,1.0,0.6,0.4,0.06666666666666667,0.2,1.0,1.0,1.0,1.0,2.0,2.0,18.785,0.0,0.75,32.0,-2.0
SC-B-04,no_memory,clarification,medium,none,low,0.5383491171892537,0.6,1.2,0.6,0.4,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,14.907,0.0,0.75,22.0,-2.0
SC-B-04,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,1.0,1.391,0.0,0.25,0.0,-1001.0
SC-B-04,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,2.0,2.0,0.683,0.0,0.5,0.0,-1002.0
SC-B-05,full,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,51.825,1.0,1.0,19.0,-2.0
SC-B-05,no_context,clarification,medium,none,low,0.8539316501572934,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,2.0,2.0,17.891,0.0,0.75,19.0,-2.0
SC-B-05,no_memory,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,14.747,1.0,1.0,11.0,-2.0
SC-B-05,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,1.0,1.195,0.0,0.25,0.0,-1001.0
