scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,grounded_claim_count
SC-B-01,no_context,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.79,1.0,1.0,0.0
SC-B-01,no_memory,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.8583333333333334,1.0,1.0,0.0
SC-B-01,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.9269999999999999,1.0,1.0,0.0
SC-B-01,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.6943333333333334,1.0,1.0,0.0
SC-B-02,full,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.677,1.0,1.0,0.0
SC-B-02,no_context,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.63,1.0,1.0,0.0
SC-B-02,no_memory,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.6613333333333333,1.0,1.0,0.0
SC-B-02,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.6866666666666666,1.0,1.0,0.0
SC-B-02,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.6153333333333334,1.0,1.0,0.0
SC-B-03,full,clarification,hard,none,low,,,,,,,,,,1.0,1.0,1.0,0.6203333333333333,1.0,1.0,0.0
SC-B-03,no_context,clarification,hard,none,low,,,,,,,,,,1.0,1.0,1.0,0.5656666666666667,1.0,1.0,0.0
SC-B-03,no_memory,clarification,hard,none,low,,,,,,,,,,1.0,1.0,1.0,0.661,1.0,1.0,0.0
SC-B-03,one_shot,clarification,hard,none,low,,,,,,,,,,1.0,1.0,1.0,0.618,1.0,1.0,0.0
SC-B-03,profile_only,clarification,hard,none,low,,,,,,,,,,1.0,1.0,1.0,0.5536666666666666,1.0,1.0,0.0
SC-B-04,full,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.835,1.0,1.0,0.0
SC-B-04,no_context,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.7716666666666666,1.0,1.0,0.0
SC-B-04,no_memory,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.8103333333333333,1.0,1.0,0.0
SC-B-04,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.8536666666666667,1.0,1.0,0.0
SC-B-04,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.6713333333333334,1.0,1.0,0.0
SC-B-05,full,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.6626666666666666,1.0,1.0,0.0
SC-B-05,no_context,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.6053333333333333,1.0,1.0,0.0
SC-B-05,no_memory,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.6606666666666667,1.0,1.0,0.0
SC-B-05,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.65,1.0,1.0,0.0
SC-B-05,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.5706666666666667,1.0,1.0,0.0
