run_id,scenario_id,variant,claim_id,claim_type,support_status,supported_binary,evidence_count
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-1f5aa82c73817981,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-53a8e419107df166,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-c2d68998cb2480b0,skill_gap,supported,1,1
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-df8d48ae841bd6c9,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-6536571af47d329f,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-9d3cf96ca03eee1d,skill_gap,supported,1,1
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-00f3e2800d2e6a11,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-b576bdaa57856f92,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-637e6173022e54dd,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-147656ceb777bb2f,skill_gap,supported,1,1
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-8722749428a58b51,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-a2629b870c884acf,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-26b121ce1a076eb9,ranking_reason,supported,1,3
run-06b8a8b83036e4b2,SC-A-01,profile_only,claim-83175074efc3ac0c,skill_gap,supported,1,1
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-fcce8c2df25b909b,candidate_preference,supported,1,1
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-f823f2e2786f5df2,candidate_preference,supported,1,1
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-c1bec18aa27f79ba,ranking_reason,supported,1,4
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-6835dd660940a973,ranking_reason,supported,1,4
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-7803ebeefceccf40,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-bee3b25a4888ad75,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-c101a018bf9cecfc,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-da116e4664dfbb48,ranking_reason,supported,1,4
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-d2f05a7f92b3c300,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-30f2b75b70add393,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-69d701708e69fd48,skill_gap,supported,1,1
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-4069fb4297318523,ranking_reason,supported,1,4
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-1f5aa82c73817981,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-53a8e419107df166,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-9366932dfd4e007f,ranking_reason,supported,1,4
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-6536571af47d329f,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-0f2f4cf27000b8b9,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-d315da5a2d7a8400,ranking_reason,supported,1,3
run-ac4d47a7a61a99f5,SC-A-02,profile_only,claim-5c93374e18791783,skill_gap,supported,1,1
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-db58e68a276f73f2,candidate_preference,supported,1,1
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-90c0a7e7cb048695,candidate_preference,supported,1,1
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-9f8d9232572742d7,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-6dc7893b25ac7ec3,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-9515f274401a51ce,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-85ca4aff0fb5ddf5,skill_gap,supported,1,1
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-24b72d22077bd973,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-b821f04fe480c71f,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-5477197e1d63902c,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-b60b2180bb7a4f54,skill_gap,supported,1,1
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-0ec1951b3ffdeff2,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-53d67ceb915a7313,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-ce750ca4e131808b,skill_gap,supported,1,1
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-1a2b604110debe4a,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-6687c00b39adbe2c,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-8acf10c57572b512,skill_gap,supported,1,1
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-00f3e2800d2e6a11,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-b576bdaa57856f92,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-637e6173022e54dd,ranking_reason,supported,1,3
run-5923fbf6a6d2d6d7,SC-A-03,profile_only,claim-147656ceb777bb2f,skill_gap,supported,1,1
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-df7462dd98d13973,candidate_preference,supported,1,1
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-f823f2e2786f5df2,candidate_preference,supported,1,1
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-cf3d503aff23024d,ranking_reason,supported,1,3
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-1f8bfe40cefce135,ranking_reason,supported,1,4
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-6caeebb57ce88a9c,ranking_reason,supported,1,4
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-9b4756d315422571,ranking_reason,supported,1,3
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-d918f08bb5b898c7,ranking_reason,supported,1,4
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-a3871b4ffae43db5,ranking_reason,supported,1,3
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-352f09ca3851dc27,ranking_reason,supported,1,3
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-4a3c9ebe00b06be9,ranking_reason,supported,1,4
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-52bf939ea7101fae,ranking_reason,supported,1,3
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-70ce3ac5e9d1310f,ranking_reason,supported,1,4
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-0e3d6353fd27059d,ranking_reason,supported,1,3
run-d98cddc49d68d1ec,SC-A-04,profile_only,claim-76a0c448cbe3202d,ranking_reason,supported,1,4
run-8e7c994134359592,SC-A-05,profile_only,claim-6b00b8e80c57ec06,candidate_preference,supported,1,1
run-8e7c994134359592,SC-A-05,profile_only,claim-f823f2e2786f5df2,candidate_preference,supported,1,1
run-8e7c994134359592,SC-A-05,profile_only,claim-4ef0c0bf88936421,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-f13def8817a51a6a,ranking_reason,supported,1,4
run-8e7c994134359592,SC-A-05,profile_only,claim-157f032a9600c9c1,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-615e8947206a3c3f,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-44f7dd23e9cb2907,ranking_reason,supported,1,4
run-8e7c994134359592,SC-A-05,profile_only,claim-183000eadbf4f0de,ranking_reason,supported,1,4
run-8e7c994134359592,SC-A-05,profile_only,claim-deaeecc139e13b15,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-9afeb44b4732d9a4,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-709ffc5339fb2781,ranking_reason,supported,1,4
run-8e7c994134359592,SC-A-05,profile_only,claim-60b8fca5c380fe3b,ranking_reason,supported,1,4
run-8e7c994134359592,SC-A-05,profile_only,claim-07f5bca4cf795844,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-f041c752479de234,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-27f710b8f1a9eb72,ranking_reason,supported,1,4
run-8e7c994134359592,SC-A-05,profile_only,claim-637fdb0be7f799d7,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-5d17018819f1502f,ranking_reason,supported,1,3
run-8e7c994134359592,SC-A-05,profile_only,claim-b165955aa314a2ce,ranking_reason,supported,1,4
run-8e7c994134359592,SC-A-05,profile_only,claim-1c9e45d4f7d5d3e9,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-db58e68a276f73f2,candidate_preference,supported,1,1
run-fce8201d9237acac,SC-A-06,profile_only,claim-5bb208a0d00436bb,candidate_preference,supported,1,1
run-fce8201d9237acac,SC-A-06,profile_only,claim-65aa9ef6d2be4d63,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-5647dbbe67851d17,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-767e05300c5c9a33,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-f5ea2b559f8f7196,skill_gap,supported,1,1
run-fce8201d9237acac,SC-A-06,profile_only,claim-f81b9e696a4daf92,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-61316786f16fd635,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-a22882d941be5305,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-63f3cbce8d3215af,skill_gap,supported,1,1
run-fce8201d9237acac,SC-A-06,profile_only,claim-00f3e2800d2e6a11,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-b576bdaa57856f92,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-637e6173022e54dd,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-147656ceb777bb2f,skill_gap,supported,1,1
run-fce8201d9237acac,SC-A-06,profile_only,claim-b80226f5b9362337,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-79d53530f4caf69c,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-42a23eb9d6797590,ranking_reason,supported,1,3
