experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,candidate_state_version,termination_reason,total_latency_ms,run_dir
profile_only,SC-B-03,0,run-d07c799afef5aabe,True,clarification,,0,0,0,0,2,1,1,repeated_slot,0.806,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-B-03\0
profile_only,SC-B-04,0,run-12f735ed4b71a3f0,True,clarification,,0,0,0,0,2,1,1,repeated_slot,2.555,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-B-04\0
profile_only,SC-B-05,0,run-1972ea1833e80d1c,True,clarification,,0,0,0,0,2,1,1,repeated_slot,0.859,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-B-05\0
profile_only,SC-C-01,0,run-4f0d3048cd89efa1,True,recommendation,False,5,43,24,0,1,1,1,recommendation,25.154,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-C-01\0
profile_only,SC-C-02,0,run-7a637439745919f6,True,recommendation,False,5,44,28,0,1,1,1,recommendation,25.696,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-C-02\0
profile_only,SC-C-03,0,run-4cd0e543cf579d3b,True,recommendation,False,5,43,22,0,1,1,1,recommendation,19.334,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-C-03\0
profile_only,SC-C-04,0,run-481859cfa47322d6,True,recommendation,False,5,43,25,0,1,1,1,recommendation,18.884,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-C-04\0
profile_only,SC-C-05,0,run-1952b6ee8d6169a1,True,recommendation,False,5,44,20,0,1,1,1,recommendation,24.302,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-C-05\0
profile_only,SC-D-01,0,run-19b863578f4f63ba,True,recommendation,False,5,43,22,0,2,1,1,recommendation,23.629,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-01\0
profile_only,SC-D-02,0,run-75244baad6ad078d,True,recommendation,False,5,44,26,0,2,1,1,recommendation,25.315,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-02\0
profile_only,SC-D-03,0,run-dc137e214d8d13db,True,recommendation,False,5,43,21,0,2,1,1,recommendation,19.262,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-03\0
profile_only,SC-D-04,0,run-65175b19c8de4a6d,True,recommendation,False,5,40,21,0,2,1,1,recommendation,24.445,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-04\0
profile_only,SC-D-05,0,run-6204420488b77c86,True,recommendation,False,5,45,14,0,2,1,1,recommendation,27.361,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-05\0
profile_only,SC-E-01,0,run-b34dd749f0b30c64,True,recommendation,False,5,43,18,0,1,1,1,recommendation,18.17,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-E-01\0
profile_only,SC-E-02,0,run-d7e177292db8eee4,True,recommendation,False,5,44,18,0,1,1,1,recommendation,18.662,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-E-02\0
profile_only,SC-E-03,0,run-e7d3259655dccb90,True,recommendation,False,5,43,18,0,1,1,1,recommendation,63.588,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-E-03\0
profile_only,SC-E-04,0,run-d6df67c098b45b31,True,recommendation,False,5,45,13,0,1,1,1,recommendation,22.915,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-E-04\0
profile_only,SC-E-05,0,run-982b9d89ef358bd9,True,recommendation,False,5,40,18,0,1,1,1,recommendation,20.626,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-E-05\0
profile_only,SC-F-01,0,run-fd70fa415f2c8d38,True,recommendation,False,5,43,18,0,1,1,1,recommendation,27.083,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-F-01\0
profile_only,SC-F-02,0,run-07e112e298b7f145,True,recommendation,False,5,44,18,0,1,1,1,recommendation,24.733,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-F-02\0
profile_only,SC-F-03,0,run-d2eb132f885a51dc,True,recommendation,False,5,43,18,0,1,1,1,recommendation,18.43,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-F-03\0
profile_only,SC-F-04,0,run-49a2977f7ec56725,True,recommendation,False,5,44,18,0,1,1,1,recommendation,20.762,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-F-04\0
profile_only,SC-G-01,0,run-188d0091385b64d8,True,clarification,,0,0,0,0,2,1,1,repeated_slot,0.728,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-G-01\0
profile_only,SC-G-02,0,run-51c1aaa5c1f08b06,True,clarification,,0,0,0,0,2,1,1,repeated_slot,0.787,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-G-02\0
profile_only,SC-H-01,0,run-785fb15ad167f191,True,recommendation,False,5,43,19,0,1,1,1,recommendation,16.353,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-H-01\0
profile_only,SC-H-02,0,run-47f9b85cf6b72119,True,recommendation,False,5,44,22,0,1,1,1,recommendation,21.932,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-H-02\0
profile_only,SC-H-03,0,run-717d717fd5089669,True,recommendation,False,5,45,13,0,1,1,1,recommendation,24.945,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-H-03\0
profile_only,SC-D-06,0,run-087fa378c505b00f,True,clarification,,0,0,0,0,2,1,1,,1.535,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-06\0
profile_only,SC-D-07,0,run-82b254cb2cf31178,True,clarification,,0,0,0,0,2,1,1,,1.77,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-07\0
profile_only,SC-D-08,0,run-f413c00e26a8b470,True,clarification,,0,0,0,0,2,1,1,,0.782,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-08\0
profile_only,SC-D-09,0,run-047bb32d99f99b88,True,clarification,,0,0,0,0,2,1,1,,1.29,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-09\0
profile_only,SC-D-10,0,run-6e764da7d7c0dcde,True,clarification,,0,0,0,0,2,1,1,,1.026,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-10\0
profile_only,SC-D-11,0,run-f1590c09b9240a0c,True,clarification,,0,0,0,0,3,1,1,,0.717,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-11\0
profile_only,SC-D-12,0,run-1fbf012660547794,True,clarification,,0,0,0,0,3,1,1,,0.996,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-D-12\0
one_shot,SC-A-01,0,run-3b94407abcb3ce4a,True,recommendation,False,5,30,28,0,1,1,1,recommendation,17.556,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-A-01\0
one_shot,SC-A-02,0,run-3b1e897315b10775,True,recommendation,False,5,29,22,0,1,1,1,recommendation,19.966,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-A-02\0
one_shot,SC-A-03,0,run-994492494270ce4c,True,recommendation,False,5,30,28,0,1,1,1,recommendation,21.259,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-A-03\0
one_shot,SC-A-04,0,run-41718611d68bb841,True,recommendation,False,5,29,24,0,1,1,1,recommendation,21.696,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-A-04\0
one_shot,SC-A-05,0,run-e86dd6c24b55d7d6,True,recommendation,False,5,29,23,0,1,1,1,recommendation,27.013,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-A-05\0
one_shot,SC-A-06,0,run-bfbd1192f3d75e78,True,recommendation,False,5,31,27,0,1,1,1,recommendation,22.083,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-A-06\0
one_shot,SC-B-01,0,run-0c92d8ea5666ea4b,True,clarification,,0,0,0,0,1,1,1,continuation_disabled,1.303,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-B-01\0
one_shot,SC-B-02,0,run-aa243752d2728015,True,clarification,,0,0,0,0,1,1,1,continuation_disabled,0.958,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-B-02\0
one_shot,SC-B-03,0,run-c2c72ef4e779c41a,True,clarification,,0,0,0,0,1,1,1,continuation_disabled,1.113,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-B-03\0
one_shot,SC-B-04,0,run-4a269a5ac3687e00,True,clarification,,0,0,0,0,1,1,1,continuation_disabled,1.972,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-B-04\0
one_shot,SC-B-05,0,run-98c6e54b5335c436,True,clarification,,0,0,0,0,1,1,1,continuation_disabled,1.116,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-B-05\0
one_shot,SC-C-01,0,run-933a59e9fb3f1427,True,recommendation,False,5,10,28,0,1,1,1,recommendation,15.274,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-C-01\0
one_shot,SC-C-02,0,run-2675c00e7f1c13b4,True,recommendation,False,5,29,29,0,1,1,1,recommendation,24.631,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-C-02\0
one_shot,SC-C-03,0,run-82c73744cc422065,True,recommendation,False,5,10,26,0,1,1,1,recommendation,13.243,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-C-03\0
one_shot,SC-C-04,0,run-fd1e4cc7e4e088bf,True,recommendation,False,3,3,17,0,1,1,1,recommendation,12.978,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-C-04\0
one_shot,SC-C-05,0,run-a0f1da0172c28843,True,recommendation,False,5,29,23,0,1,1,1,recommendation,24.47,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-C-05\0
one_shot,SC-D-01,0,run-ccf046f6d6deadaf,True,clarification,,0,0,0,0,2,1,1,continuation_disabled,1.887,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-01\0
one_shot,SC-D-02,0,run-d8a25143fc123ee5,True,recommendation,False,5,29,29,0,2,1,1,recommendation,25.206,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-02\0
one_shot,SC-D-03,0,run-a7a40f10777a1520,True,recommendation,False,5,43,21,0,2,1,1,recommendation,21.197,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-03\0
one_shot,SC-D-04,0,run-ff3d9ec32dcc1fcd,True,recommendation,False,5,23,28,0,2,1,1,recommendation,19.3,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-04\0
one_shot,SC-D-05,0,run-5aeb50a0799d8761,True,clarification,,0,0,0,0,2,1,1,continuation_disabled,1.001,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-05\0
one_shot,SC-E-01,0,run-5827962336e37be5,True,recommendation,False,2,2,13,0,1,1,1,recommendation,10.194,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-E-01\0
one_shot,SC-E-02,0,run-08f0254d1a2a5808,True,no_match,True,0,0,3,0,1,1,1,no_match,10.362,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-E-02\0
one_shot,SC-E-03,0,run-6d448f2b103ef003,True,recommendation,False,2,2,13,0,1,1,1,recommendation,9.2,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-E-03\0
one_shot,SC-E-04,0,run-2dbb495cca545e0e,True,no_match,True,0,0,3,0,1,1,1,no_match,11.658,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-E-04\0
one_shot,SC-E-05,0,run-f28e10102ca5ed56,True,recommendation,False,2,2,11,0,1,1,1,recommendation,13.099,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-E-05\0
one_shot,SC-F-01,0,run-8a7851fe57cf16c2,True,recommendation,False,5,43,23,0,1,1,1,recommendation,21.429,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-F-01\0
one_shot,SC-F-02,0,run-595d407c22248272,True,recommendation,False,5,44,23,0,1,1,1,recommendation,27.952,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-F-02\0
one_shot,SC-F-03,0,run-f99b9d7711336028,True,recommendation,False,5,43,22,0,1,1,1,recommendation,18.468,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-F-03\0
one_shot,SC-F-04,0,run-34864872793ef677,True,recommendation,False,5,44,20,0,1,1,1,recommendation,33.343,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-F-04\0
one_shot,SC-G-01,0,run-240123cbda5dfdd4,True,clarification,,0,0,0,0,1,1,1,continuation_disabled,1.756,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-G-01\0
one_shot,SC-G-02,0,run-c35ae1995a8f2855,True,clarification,,0,0,0,0,1,1,1,continuation_disabled,0.953,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-G-02\0
one_shot,SC-H-01,0,run-0933b2ab8d6e0fd7,True,no_match,True,0,0,3,0,1,1,1,no_match,9.29,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-H-01\0
one_shot,SC-H-02,0,run-12eba79ea353f33d,True,no_match,True,0,0,2,0,1,1,1,no_match,9.312,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-H-02\0
