scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-D-10,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6956521739130435,1.0,0.0,1.0,1.0,2.0,2.0,56681.02599999999,1.0,1.0,16.0,-2.0
SC-D-10,no_context,preference_change,medium,high,medium,0.529634717214042,0.6,1.8,0.6,0.6,0.10000000000000002,0.4000000000000001,1.0,0.8260869565217391,1.0,0.0,1.0,1.0,2.0,2.0,69659.55433333333,0.0,0.75,19.0,-2.0
SC-D-10,no_memory,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,2.0,2.0,63042.33666666667,0.0,0.0,0.0,-1003.0
SC-D-11,full,preference_change,medium,high,medium,0.8649021552349447,1.0,2.6666666666666665,1.0,0.0,0.0,0.0,1.0,0.7659259259259259,1.0,0.0,1.0,1.0,3.0,3.0,62817.94566666667,1.0,1.0,19.666666666666668,-3.0
SC-D-11,no_context,preference_change,medium,high,medium,0.4703652827859579,0.4000000000000001,1.2,0.4000000000000001,0.6,0.10000000000000002,0.0,1.0,0.8205128205128206,1.0,0.0,1.0,1.0,3.0,3.0,12155.204,0.0,0.75,21.333333333333332,-3.0
SC-D-11,no_memory,preference_change,medium,high,medium,,,,,,,,,,,,1.0,1.0,3.0,3.0,215746.81900000002,0.0,0.0,0.0,-1004.0
SC-D-12,full,preference_change,hard,high,high,0.9478815954653227,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.6543209876543209,1.0,0.0,1.0,1.0,3.0,3.0,64257.996333333336,1.0,1.0,17.666666666666668,-3.0
SC-D-12,no_context,preference_change,hard,high,high,0.4554594382818065,0.20000000000000004,0.6,0.20000000000000004,0.8000000000000002,0.0,0.0,1.0,0.7857142857142857,1.0,0.0,1.0,1.0,3.0,3.0,20157.450666666668,0.0,0.75,22.0,-3.0
SC-D-12,no_memory,preference_change,hard,high,high,,,,,,,,,,,,1.0,1.0,3.0,3.0,63267.97,0.0,0.0,0.0,-1004.0
SC-E-01,full,multiple_hard,hard,none,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,34939.46633333334,1.0,1.0,6.0,-1.0
SC-E-01,no_context,multiple_hard,hard,none,high,1.0,0.20000000000000004,0.6,0.20000000000000004,1.0,0.10000000000000002,0.0,1.0,0.8846153846153846,1.0,0.0,1.0,1.0,1.0,1.0,26771.235333333334,0.0,0.75,23.0,-1.0
SC-E-01,no_memory,multiple_hard,hard,none,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,71501.35033333332,1.0,1.0,6.0,-1.0
SC-E-02,full,multiple_hard,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,46871.14166666666,1.0,1.0,6.0,-1.0
SC-E-02,no_context,multiple_hard,hard,none,high,0.0,0.0,0.0,0.0,1.2,0.0,0.20000000000000004,1.0,0.88,1.0,0.0,1.0,1.0,1.0,1.0,322025.6026666667,0.0,0.5,22.0,-1.0
