scope,variant,rank,feature,jobs,mean_total_score,mean_normalized_score,mean_weight,mean_contribution,contribution_share,top_driver_jobs,top_driver_share,inactive_jobs,dominant_explanation_code
variant,no_context,,work_mode_preference,210,0.7409002857142846,0.4595238095238095,0.06609345238095238,0.049217023809523856,0.06642867435538222,0,0.0,92,work_mode_not_specified
variant,no_memory,,experience_fit,129,0.7265091627906978,0.8333333333333338,0.08292930232558146,0.06978361240310081,0.09605331353983898,0,0.0,11,experience_in_range
variant,no_memory,,industry_preference,129,0.7265091627906978,0.0,0.0,0.0,0.0,0,0.0,129,industry_not_specified
variant,no_memory,,location_preference,129,0.7265091627906978,0.5581395348837209,0.09029660465116289,0.06315796899224813,0.08693347892494992,0,0.0,57,location_match
variant,no_memory,,preferred_skill_match,129,0.7265091627906978,0.5142023255813954,0.11847048062015507,0.06054979844961243,0.08334347527982439,0,0.0,26,preferred_skill_coverage
variant,no_memory,,required_skill_match,129,0.7265091627906978,0.583977519379845,0.2961754651162791,0.171606930232558,0.2362075236234794,47,0.3643410852713178,16,required_skill_coverage
variant,no_memory,,role_match,129,0.7265091627906978,0.9069767441860465,0.2961754651162791,0.26916017054263547,0.37048420629510853,82,0.6356589147286822,0,role_exact
variant,no_memory,,salary_preference,129,0.7265091627906978,0.4519550387596899,0.05679625581395355,0.04799610852713182,0.06606400990562478,0,0.0,60,salary_not_specified
variant,no_memory,,work_mode_preference,129,0.7265091627906978,0.4108527131782946,0.0591568837209303,0.044254573643410865,0.060913992431173646,0,0.0,65,work_mode_not_specified
variant,one_shot,,experience_fit,94,0.7356855319148937,0.8000000000000002,0.07707111702127666,0.06177192553191491,0.08396512212375665,0,0.0,11,experience_in_range
variant,one_shot,,industry_preference,94,0.7356855319148937,0.0,0.0,0.0,0.0,0,0.0,94,industry_not_specified
variant,one_shot,,location_preference,94,0.7356855319148937,0.6382978723404256,0.1031937446808512,0.07009508510638303,0.09527859671772346,0,0.0,34,location_match
variant,one_shot,,preferred_skill_match,94,0.7356855319148937,0.5336787234042556,0.11010172340425547,0.05921305319148938,0.08048690727594643,0,0.0,16,preferred_skill_coverage
variant,one_shot,,required_skill_match,94,0.7356855319148937,0.6152457446808511,0.27525351063829795,0.1699030212765959,0.23094517141632573,37,0.39361702127659576,6,required_skill_coverage
variant,one_shot,,role_match,94,0.7356855319148937,0.898936170212766,0.27525351063829795,0.24810310638297867,0.3372407035614777,57,0.6063829787234043,0,role_exact
variant,one_shot,,salary_preference,94,0.7356855319148937,0.620236170212766,0.0779437978723405,0.06586700000000005,0.08953146030826081,0,0.0,25,salary_meets_min
variant,one_shot,,work_mode_preference,94,0.7356855319148937,0.5638297872340425,0.08118338297872349,0.060732340425531925,0.0825520385965095,0,0.0,30,work_mode_match
variant,profile_only,,experience_fit,140,0.7664872714285718,0.8907142857142862,0.09523157142857155,0.08499539285714289,0.11088950335565163,0,0.0,3,experience_in_range
variant,profile_only,,industry_preference,140,0.7664872714285718,0.0,0.0,0.0,0.0,0,0.0,140,industry_not_specified
variant,profile_only,,location_preference,140,0.7664872714285718,0.34285714285714286,0.0720790000000001,0.04335402142857145,0.05656195874951535,0,0.0,92,location_not_specified
variant,profile_only,,preferred_skill_match,140,0.7664872714285718,0.6702299999999999,0.13604499999999975,0.0924182214285713,0.12057371971268759,0,0.0,9,preferred_skill_coverage
variant,profile_only,,required_skill_match,140,0.7664872714285718,0.6095235714285715,0.34011185714285713,0.2082958714285715,0.2717538557950892,46,0.32857142857142857,11,required_skill_coverage
variant,profile_only,,role_match,140,0.7664872714285718,0.9571428571428572,0.34011185714285713,0.3254253857142856,0.4245672405071526,94,0.6714285714285714,0,role_exact
variant,profile_only,,salary_preference,140,0.7664872714285718,0.029385714285714286,0.004105107142857143,0.003377678571428572,0.004406698842021585,0,0.0,135,salary_not_specified
variant,profile_only,,work_mode_preference,140,0.7664872714285718,0.075,0.012315321428571429,0.008620700000000002,0.011247023037881401,0,0.0,126,work_mode_not_specified
variant_rank,full,1.0,experience_fit,37,0.773848054054054,0.8189189189189187,0.07738824324324324,0.06405143243243244,0.08277003747296156,0,0.0,1,experience_in_range
variant_rank,full,1.0,industry_preference,37,0.773848054054054,0.0,0.0,0.0,0.0,0,0.0,37,industry_not_specified
variant_rank,full,1.0,location_preference,37,0.773848054054054,0.8108108108108109,0.1070447567567567,0.08936616216216213,0.11548282856561894,0,0.0,7,location_match
variant_rank,full,1.0,preferred_skill_match,37,0.773848054054054,0.5089945945945946,0.1105547567567567,0.05693797297297299,0.07357771680717545,0,0.0,4,preferred_skill_coverage
variant_rank,full,1.0,required_skill_match,37,0.773848054054054,0.6036027027027028,0.27638613513513516,0.1687057297297298,0.21800885696605443,13,0.35135135135135137,3,required_skill_coverage
variant_rank,full,1.0,role_match,37,0.773848054054054,0.918918918918919,0.27638613513513516,0.25378367567567567,0.3279502666526685,24,0.6486486486486487,0,role_exact
variant_rank,full,1.0,salary_preference,37,0.773848054054054,0.735891891891892,0.08368505405405402,0.07818018918918918,0.1010278294034816,0,0.0,8,salary_meets_min
variant_rank,full,1.0,work_mode_preference,37,0.773848054054054,0.5945945945945946,0.06855564864864866,0.06282289189189191,0.08118246413203964,0,0.0,14,work_mode_match
variant_rank,full,2.0,experience_fit,37,0.7330714054054054,0.8567567567567568,0.07738824324324324,0.06651302702702704,0.09073198945775794,0,0.0,2,experience_in_range
variant_rank,full,2.0,industry_preference,37,0.7330714054054054,0.0,0.0,0.0,0.0,0,0.0,37,industry_not_specified
variant_rank,full,2.0,location_preference,37,0.7330714054054054,0.7027027027027027,0.1070447567567567,0.07822097297297295,0.10670307475670116,0,0.0,11,location_match
variant_rank,full,2.0,preferred_skill_match,37,0.7330714054054054,0.5990891891891894,0.1105547567567567,0.0650495675675676,0.08873564988064661,0,0.0,4,preferred_skill_coverage
variant_rank,full,2.0,required_skill_match,37,0.7330714054054054,0.5990972972972972,0.27638613513513516,0.16754454054054063,0.22855146075147295,13,0.35135135135135137,3,required_skill_coverage
variant_rank,full,2.0,role_match,37,0.7330714054054054,0.8918918918918919,0.27638613513513516,0.24681794594594592,0.3366901834200584,24,0.6486486486486487,1,role_exact
variant_rank,full,2.0,salary_preference,37,0.7330714054054054,0.5594324324324325,0.08368505405405402,0.06055602702702704,0.08260590520992721,0,0.0,9,salary_meets_min
variant_rank,full,2.0,work_mode_preference,37,0.7330714054054054,0.4594594594594595,0.06855564864864866,0.048369324324324336,0.06598173652343592,0,0.0,15,work_mode_not_specified
