experiment_id,run_id,claim_id,annotation_signature,delivery_status,rater_1,rater_2,validator,adjudicated,notes
exp-40a9cd647575,run-5426d17ea77a5e18,claim-128ba76c0395a1c3,sig-0f83413df513472e,delivered,1,1,1,,
exp-40a9cd647575,run-57707206b4378d12,claim-128ba76c0395a1c3,sig-0f83413df513472e,delivered,1,1,1,,
exp-40a9cd647575,run-937dfd5cfbd8926d,claim-128ba76c0395a1c3,sig-0f83413df513472e,delivered,1,1,1,,
exp-40a9cd647575,run-a1496348f76e4af2,claim-128ba76c0395a1c3,sig-0f83413df513472e,delivered,1,1,1,,
exp-40a9cd647575,run-2f4597ed820c1503,claim-910890350acb2de9,sig-0fa22582ad0c9cb9,delivered,1,1,1,,
exp-40a9cd647575,run-35c863ad4c3e6f28,claim-910890350acb2de9,sig-0fa22582ad0c9cb9,delivered,1,1,1,,
exp-40a9cd647575,run-612f2088b21cda70,claim-910890350acb2de9,sig-0fa22582ad0c9cb9,delivered,1,1,1,,
exp-40a9cd647575,run-d03fb77500c9cd94,claim-910890350acb2de9,sig-0fa22582ad0c9cb9,delivered,1,1,1,,
exp-40a9cd647575,run-f96aa93357eb541c,claim-023e9944c7cadd4a,sig-0ff63dc8cf64509c,delivered,1,1,1,,
exp-40a9cd647575,run-1e0ba3c3954c7ccf,claim-729318bf1714782a,sig-106ca77bd6dea433,delivered,1,1,1,,
exp-40a9cd647575,run-d0fa4ba0dd287bb4,claim-729318bf1714782a,sig-106ca77bd6dea433,delivered,1,1,1,,
exp-40a9cd647575,run-f96aa93357eb541c,claim-729318bf1714782a,sig-106ca77bd6dea433,delivered,1,1,1,,
exp-40a9cd647575,run-4292659382907599,claim-4ef0c0bf88936421,sig-1094026e83be95d4,delivered,1,1,1,,
exp-40a9cd647575,run-8b3f8acda4a32c84,claim-4ef0c0bf88936421,sig-1094026e83be95d4,delivered,1,1,1,,
exp-40a9cd647575,run-ace8bf7a52ee7605,claim-4ef0c0bf88936421,sig-1094026e83be95d4,delivered,1,1,1,,
exp-40a9cd647575,run-affd2b9b1ab246dd,claim-4ef0c0bf88936421,sig-1094026e83be95d4,delivered,1,1,1,,
exp-40a9cd647575,run-2a6bdf80f5ea7b6d,claim-a9e66fd4a51f274a,sig-10ab458e3bf7d10c,delivered,1,1,1,,
exp-40a9cd647575,run-59a9fcc2972db0b9,claim-a9e66fd4a51f274a,sig-10ab458e3bf7d10c,delivered,1,1,1,,
exp-40a9cd647575,run-7e985e6525696145,claim-a9e66fd4a51f274a,sig-10ab458e3bf7d10c,delivered,1,1,1,,
exp-40a9cd647575,run-04ef79de6332407d,claim-38e7030cefad4279,sig-10edd453822031fe,delivered,1,1,1,,
exp-40a9cd647575,run-10552c1cef134ebe,claim-38e7030cefad4279,sig-10edd453822031fe,delivered,1,1,1,,
exp-40a9cd647575,run-419b34c10574e0d7,claim-38e7030cefad4279,sig-10edd453822031fe,delivered,1,1,1,,
exp-40a9cd647575,run-7e985e6525696145,claim-38e7030cefad4279,sig-10edd453822031fe,delivered,1,1,1,,
exp-40a9cd647575,run-2014c584d6b7abe3,claim-27f710b8f1a9eb72,sig-111edfa43ef24d8e,delivered,1,1,1,,
exp-40a9cd647575,run-243c9483fa7e0adf,claim-27f710b8f1a9eb72,sig-111edfa43ef24d8e,delivered,1,1,1,,
exp-40a9cd647575,run-5d2e6e2b79282ca0,claim-27f710b8f1a9eb72,sig-111edfa43ef24d8e,delivered,1,1,1,,
exp-40a9cd647575,run-6f9234be022646e9,claim-27f710b8f1a9eb72,sig-111edfa43ef24d8e,delivered,1,1,1,,
exp-40a9cd647575,run-9332cdf03b96bf12,claim-27f710b8f1a9eb72,sig-111edfa43ef24d8e,delivered,1,1,1,,
exp-40a9cd647575,run-afceedbf298a91a6,claim-27f710b8f1a9eb72,sig-111edfa43ef24d8e,delivered,1,1,1,,
