run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,evidence_resolution_rate,abstention_rate,unsupported_delivered_count,semantic_validator_present,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-5c0d5664f17d49ec,SC-B-05,full,0,clarification,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,19,1.0,0.0,0,True,1.0,1.0,2,9781.151,1,1.0,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-dd1b4928898fad84,SC-C-01,full,0,profile_dialogue_conflict,medium,medium,high,recommendation,True,5,0.936475914927914,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.7777777777777778,21,1.0,0.0,0,True,1.0,1.0,1,13966.36,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-a22080aca1a27541,SC-C-02,full,0,profile_dialogue_conflict,medium,medium,medium,recommendation,True,5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.5714285714285714,16,1.0,0.0,0,True,1.0,1.0,1,44583.182,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-71c2d1037922b2dd,SC-C-03,full,0,profile_dialogue_conflict,hard,medium,high,recommendation,True,5,1.0,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.7692307692307693,20,1.0,0.0,0,True,1.0,1.0,1,23450.28,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-41747529cb02b9b8,SC-C-04,full,0,profile_dialogue_conflict,medium,medium,high,recommendation,True,3,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.5882352941176471,10,1.0,0.0,0,True,1.0,1.0,1,106282.524,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-d4559cdc2876f394,SC-C-05,full,0,profile_dialogue_conflict,medium,low,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7391304347826086,17,1.0,0.0,0,True,1.0,1.0,1,41045.787,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-f4d621b8a14364b6,SC-D-01,full,0,preference_change,medium,high,high,recommendation,True,5,0.7446551257189392,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.7692307692307693,20,1.0,0.0,0,True,1.0,1.0,2,120072.523,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-4cb0c9eeaa49c968,SC-D-02,full,0,preference_change,medium,high,medium,recommendation,True,1,0.3391602052736162,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.7777777777777778,7,1.0,0.0,0,True,1.0,1.0,2,116021.981,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-d146adaa6ee7d522,SC-D-03,full,0,preference_change,hard,high,high,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.52,13,1.0,0.0,0,True,1.0,1.0,2,60328.245,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-0fea3e5d72f14bdc,SC-D-04,full,0,preference_change,medium,high,medium,recommendation,True,4,0.6884243782136499,1.0,2.5,1.0,0.0,0.0,0.0,1.0,0.782608695652174,18,1.0,0.0,0,True,1.0,1.0,2,14952.823,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-3457b8d2e4c1d3ae,SC-D-05,full,0,preference_change,medium,high,high,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7,14,1.0,0.0,0,True,1.0,1.0,2,48441.851,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-2beccb6bb0a1b324,SC-D-06,full,0,preference_change,medium,high,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.7857142857142857,22,1.0,0.0,0,True,1.0,1.0,2,23774.153,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-377341cb84da3195,SC-D-07,full,0,preference_change,medium,high,medium,recommendation,True,2,0.5531464700081437,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,6,1.0,0.0,0,True,1.0,1.0,2,11678.34,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-6cee27de14259a73,SC-D-08,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7857142857142857,22,1.0,0.0,0,True,1.0,1.0,2,57658.693,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-304e837b9db6bba5,SC-D-09,full,0,preference_change,hard,high,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.625,15,1.0,0.0,0,True,1.0,1.0,2,21827.663,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-d2554a3cfbcbb37e,SC-D-10,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.782608695652174,18,1.0,0.0,0,True,1.0,1.0,2,52322.078,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-f8c43b4e17d780f8,SC-D-11,full,0,preference_change,medium,high,medium,recommendation,True,5,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,0.4,10,1.0,0.0,0,True,1.0,1.0,3,47535.419,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
