scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-B-05,full,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,9781.151,1.0,1.0,19.0,-2.0
SC-C-01,full,profile_dialogue_conflict,medium,medium,high,0.936475914927914,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,1.0,1.0,1.0,13966.36,1.0,1.0,21.0,-1.0
SC-C-02,full,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,1.0,1.0,1.0,1.0,44583.182,1.0,1.0,16.0,-1.0
SC-C-03,full,profile_dialogue_conflict,hard,medium,high,1.0,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.7692307692307693,1.0,0.0,1.0,1.0,1.0,1.0,23450.28,1.0,1.0,20.0,-1.0
SC-C-04,full,profile_dialogue_conflict,medium,medium,high,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.5882352941176471,1.0,0.0,1.0,1.0,1.0,1.0,106282.524,1.0,1.0,10.0,-1.0
SC-C-05,full,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7391304347826086,1.0,0.0,1.0,1.0,1.0,1.0,41045.787,1.0,1.0,17.0,-1.0
SC-D-01,full,preference_change,medium,high,high,0.7446551257189392,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.7692307692307693,1.0,0.0,1.0,1.0,2.0,2.0,120072.523,1.0,1.0,20.0,-2.0
SC-D-02,full,preference_change,medium,high,medium,0.3391602052736162,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,1.0,2.0,2.0,116021.981,1.0,1.0,7.0,-2.0
SC-D-03,full,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.52,1.0,0.0,1.0,1.0,2.0,2.0,60328.245,1.0,1.0,13.0,-2.0
SC-D-04,full,preference_change,medium,high,medium,0.6884243782136499,1.0,2.5,1.0,0.0,0.0,0.0,1.0,0.782608695652174,1.0,0.0,1.0,1.0,2.0,2.0,14952.823,1.0,1.0,18.0,-2.0
SC-D-05,full,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7,1.0,0.0,1.0,1.0,2.0,2.0,48441.851,1.0,1.0,14.0,-2.0
SC-D-06,full,preference_change,medium,high,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.7857142857142857,1.0,0.0,1.0,1.0,2.0,2.0,23774.153,1.0,1.0,22.0,-2.0
